	가게	주소	테마
119	산도롱맨도롱	제주특별자치도 제주시 구좌읍 해맞이해안로 2284	"#고기국수 #돔베고기 #왕만두
#주먹밥 #음식 #갈비"
120	쌍둥이횟집본점	제주특별자치도 서귀포시 중정로62번길 14	"#회 #횟집 #초밥
#스시 #생선구이 #음식 #해산물 #생선구이정식"
121	아라파파 a la papa	제주특별자치도 제주시 국기로3길 2	"#베이커리 #홍차밀크잼 #제주도3대빵집
#음식 #빵 #아메리카노 #카페라떼 #카페모카 #카푸치노 #카라멜마끼아또 #샌드위치"
122	전설의마녀	제주특별자치도 제주시 애월읍 애월해안로 715	"#돈까스 #볶음밥 #떡볶이
#낙지해물생라면 #전보해물볶음밥 #음식 #라면"
123	제주올레냉면 제주노형점	제주특별자치도 제주시 광평동로 19	"#냉면 #비빔냉면 #물냉면
#음식 #물갈비 #갈비 #전복갈비탕 #갈비탕"
124	젠하이드어웨이	제주특별자치도 서귀포시 안덕면 사계남로 186-8	"#차롱박스 #까수엘라 #팟타이
#디저트 #케이크 #음식 #파스타 #샐러드 #치킨샐러드 #감자튀김 #스테이크"
125	치저스	제주특별자치도 제주시 구좌읍 비자림로 1785	"#스테이크 #치즈 #양식
#음식 #리조또 #미트볼파스타 #미트볼스파게티"
126	카페태희	제주특별자치도 제주시 애월읍 곽지3길 27	"#피쉬앤칩스 #새우튀김 #감자튀김
#커피 #음식 #햄버거 #치즈버거 #레몬에이드"
127	협재해녀의집	제주특별자치도 제주시 한림읍 협재3길 19	"#해물라면 #해물죽 #해산물조림
#해산물구이 #해물뚝배기 #음식 #라면"
128	88버거	제주특별자치도 서귀포시 동문로 63 (서귀동)	"#햄버거 #크림소스버거 #흑돼지버거
#음식 #햄버거스테이크 #치즈버거"
129	거멍국수	제주특별자치도 서귀포시 안덕면 사계로114번길 53-14	"#우수관광사업체 #고기국수 #성게국수
#회국수 #음식 #비빔국수 #멸치국수"
130	고불락	제주특별자치도 제주시 애월읍 고내로7길 45-12	"#제육볶음 #상추밥 #한식
#음식 #닭볶음탕 #김치찌개 #돼지김치찌개 #고등어조림"
131	고서방해물탕	제주특별자치도 서귀포시 대정읍 형제해안로 282	"#해물탕 #갈치조림 #대정
#음식 #제주갈치구이 #제주갈치조림 #식당"
132	곰막	제주특별자치도 제주시 구좌읍 구좌해안로 64	"#회국수 #성게국수 #회비빔밥
#음식 #고등어회 #회덮밥 #전복 #전복죽 #물회"
133	그리운바다성산포	제주특별자치도 서귀포시 성산읍 성산등용로 94	"#고등어회 #은갈치회 #횟집
#회국수 #성게미역국 #갈치구이 #갈치조림 #고등어조림 #회덮밥 #전복해물뚝배기"
